X,Y,LICENSE,APPLICANT,TRADE_NAME,CLASS,ADDRESS,ZIPCODE,WARD,ANC,SMD,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING,CARRYOUT_DELIVERY,MAR_ID,XCOORD,YCOORD,LONGITUDE,LATITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID
-77.0419493068915,38.9214855925925,ABRA-060347,Meze Inc.,Meze,C,2437 18TH STREET NW,20009,Ward 1,ANC 1C,SMD 1C07,Active,Restaurant,,CHECKED,,CHECKED,,,,,CHECKED,,,,72,,,CHECKED,235583,396362.45,139290.35,-77.04194701,38.9214778,ABRALicenseePt_233,{0BC77B8E-43EB-4E96-93BE-FD9408E3853B},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5033
-77.0217218946459,38.9159978239036,ABRA-060351,"DK, Corporation",Joe Caplan Liquors,A,1913 7TH STREET NW,20001,Ward 1,ANC 1B,SMD 1B01,Active,Retail - Liquor Store,,,,,,,,,,,,,,,,,218566,398116.38,138680.55,-77.0217196,38.91599037,ABRALicenseePt_234,{7AE2AE7C-17CB-4468-8215-C13E3A43467B},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5034
-77.0730959592593,38.9337047268855,ABRA-060352,Two Amys LLC,Two Amys,C,3715 MACOMB STREET NW,20016,Ward 3,ANC 3C,SMD 3C07,Active,Restaurant,,,,,CHECKED,,,,,,,,128,,,CHECKED,223063,393662.57,140648.48,-77.07309365,38.93369693,ABRALicenseePt_235,{FB352A79-118D-4DB0-916E-9B9A5F3D03FA},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5035
-77.0151554212278,38.9136424596063,ABRA-060359,Habtmical Letckidan T.,Rafael Grocery Deli,B,233 FLORIDA AVENUE NW,20001,Ward 5,ANC 5E,SMD 5E06,Active,Retail - Grocery,,,,,,,,,,,,,,,,,230021,398685.81,138418.97,-77.01515313,38.913635,ABRALicenseePt_236,{C044F8AE-E414-4A0A-A4D4-99BF9A43D78F},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5036
-77.0444647515516,38.9121204093763,ABRA-060369,Dupont Imp LLC,Gazuza,C,1629 CONNECTICUT AVENUE NW,20009,Ward 2,ANC 2B,SMD 2B03,Issued,Nightclub,,,,,CHECKED,,,,,,,,148,,,,241052,396143.81,138250.84,-77.04446245,38.91211295,ABRALicenseePt_237,{C4A512EC-2272-4B8E-9F90-63F946B7DE8A},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5037
-76.9958500295368,38.8866147758175,ABRA-060383,Harlou Inc.,Tunnicliffs Tavern,C,222 7TH STREET SE,20003,Ward 6,ANC 6B,SMD 6B02,Active,Restaurant,,,,CHECKED,,,,,,,,,87,,,CHECKED,50197,400360.25,135418.58,-76.99584775,38.88660732,ABRALicenseePt_238,{2104FEDC-4C1A-4CAD-9E7A-038229FB2D3D},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5038
-77.0322887632615,38.9044161460134,ABRA-060397,"RIDC, LLC",Residence Inn/Wash.DC/Thomas Circle,D,1199 VERMONT AVENUE NW,20005,Ward 2,ANC 2F,SMD 2F05,Active,Hotel,,,,,,,,,,,,,202,,,,278914,397199.52,137395.16,-77.03228647,38.90440836,ABRALicenseePt_239,{418AC9EB-6AAA-4338-91F4-BF3741A517E6},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5039
-77.0330218700118,38.936254613081,ABRA-060398,Los Brothers Inc.,La Molienda,C,3568 14TH STREET NW,20010,Ward 1,ANC 1A,SMD 1A01,Active,Restaurant,,CHECKED,,CHECKED,,,,,,,,,80,,,CHECKED,234719,397137.21,140929.52,-77.03301957,38.93624715,ABRALicenseePt_240,{006A4380-0599-4CFF-9E32-37F331972013},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5040
-77.0416147733684,38.9204979491791,ABRA-060401,Zinat Inc.,Johnny Pistolas,C,2333 18TH STREET NW,20009,Ward 1,ANC 1C,SMD 1C07,Active,Restaurant,,CHECKED,,CHECKED,CHECKED,,,,CHECKED,,,,192,,,,235617,396391.41,139180.7,-77.04161248,38.92049049,ABRALicenseePt_241,{6A59095B-B6D2-4A52-9503-5D5255CE8D94},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5041
-77.0632216301624,38.9067494569351,ABRA-060407,"Billy Martin's Tavern, LLC",Billy Martins Tavern,C,1264 WISCONSIN AVENUE NW,20007,Ward 2,ANC 2E,SMD 2E03,Active,Restaurant,,,,CHECKED,,,,,,,,,98,,,CHECKED,272155,394516.63,137655.58,-77.06321933,38.906742,ABRALicenseePt_242,{2DC7D346-AF93-4983-B4F3-85F9C529B235},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5042
-76.9594263107163,38.9189694231784,ABRA-060408,"The Country Vintner, Inc.",Winebow,A,3350 V STREET NE,20018,Ward 5,ANC 5C,SMD 5C04,Active,Wholesaler,,,,,,,,,,,,,,,,,287841,403518.78,139010.98,-76.95942404,38.91896163,ABRALicenseePt_243,{6310A786-FF99-4175-9925-F5FA8C1A277B},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5043
-77.0308695872908,38.9044919295577,ABRA-060411,Carriage House LLC,Green Lantern/Tool Shed,C,1335 GREEN COURT NW,20005,Ward 2,ANC 2F,SMD 2F05,About to Expire,Nightclub,,,,,,,,,,,,,125,,,CHECKED,279092,397322.62,137403.53,-77.03086729,38.90448448,ABRALicenseePt_244,{FDA55B4E-8315-472D-9732-FC5AD56BD37A},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5044
