Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"110010076033","Block Group 3, Census Tract 76.03, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000569",,,,,"11","001",,,"007603","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076033","Block Group 3",,,,524,72,57,0,0,0,55,103,60,87,53,0,37,13.74,10.88,0,0,0,10.5,19.66,11.45,16.6,10.11,0,7.06
"110010076034","Block Group 4, Census Tract 76.03, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000570",,,,,"11","001",,,"007603","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076034","Block Group 4",,,,1841,160,51,51,0,226,414,95,325,159,196,152,12,8.69,2.77,2.77,0,12.28,22.49,5.16,17.65,8.64,10.65,8.26,0.65
"110010076041","Block Group 1, Census Tract 76.04, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000571",,,,,"11","001",,,"007604","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076041","Block Group 1",,,,1172,128,0,28,0,65,210,64,227,240,137,25,48,10.92,0,2.39,0,5.55,17.92,5.46,19.37,20.48,11.69,2.13,4.1
"110010076042","Block Group 2, Census Tract 76.04, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000572",,,,,"11","001",,,"007604","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076042","Block Group 2",,,,726,32,24,0,0,0,115,170,90,190,37,68,0,4.41,3.31,0,0,0,15.84,23.42,12.4,26.17,5.1,9.37,0
"110010076043","Block Group 3, Census Tract 76.04, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000573",,,,,"11","001",,,"007604","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076043","Block Group 3",,,,552,0,64,0,54,23,75,74,28,202,32,0,0,0,11.59,0,9.78,4.17,13.59,13.41,5.07,36.59,5.8,0,0
"110010076044","Block Group 4, Census Tract 76.04, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000574",,,,,"11","001",,,"007604","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076044","Block Group 4",,,,1596,56,28,164,96,118,33,131,534,95,254,73,14,3.51,1.75,10.28,6.02,7.39,2.07,8.21,33.46,5.95,15.91,4.57,0.88
"110010076051","Block Group 1, Census Tract 76.05, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000575",,,,,"11","001",,,"007605","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076051","Block Group 1",,,,715,0,0,0,0,24,95,26,141,93,153,130,53,0,0,0,0,3.36,13.29,3.64,19.72,13.01,21.4,18.18,7.41
"110010076052","Block Group 2, Census Tract 76.05, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000576",,,,,"11","001",,,"007605","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076052","Block Group 2",,,,702,42,0,72,54,28,196,103,0,98,101,8,0,5.98,0,10.26,7.69,3.99,27.92,14.67,0,13.96,14.39,1.14,0
"110010076053","Block Group 3, Census Tract 76.05, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000577",,,,,"11","001",,,"007605","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076053","Block Group 3",,,,1441,0,118,0,0,122,389,49,156,156,286,41,124,0,8.19,0,0,8.47,27,3.4,10.83,10.83,19.85,2.85,8.61
"110010076054","Block Group 4, Census Tract 76.05, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000578",,,,,"11","001",,,"007605","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076054","Block Group 4",,,,624,0,0,77,0,12,117,79,113,118,71,10,27,0,0,12.34,0,1.92,18.75,12.66,18.11,18.91,11.38,1.6,4.33
