Store Name,Store Type,Geometry,Latitude,Longitude,Address
Papa Johns,fast food,"38.867346300684055, -76.9522762304147",38.867346300684,-76.952276230415,"3827 Pennsylvania Ave. SE, Washington, DC 20020"
Five Guys,fast food,"38.94981702073656, -77.07949635847835",38.949817020737,-77.079496358478,"4537 Wisconsin Ave NW, Washington, DC 20016"
Five Guys,fast food,"38.9024084970676, -77.03263280279437",38.902408497068,-77.032632802794,"1400 I St NW, Washington, DC 20005"
Five Guys,fast food,"38.90317134205445, -77.02336954918276",38.903171342054,-77.023369549183,"808 H St NW, Washington, DC 20001"
Five Guys,fast food,"38.96131840018334, -77.00145427763275",38.961318400183,-77.001454277633,"320 Riggs Rd NE, Washington, DC 20011"
Five Guys,fast food,"38.90912038829652, -77.0045122223094",38.909120388297,-77.004512222309,"1300 2nd St NE, Washington, DC 20002"
Five Guys,fast food,"38.87910566835433, -77.0040025646841",38.879105668354,-77.004002564684,"1100 2nd St SE, Washington, DC 20003"
Five Guys,fast food,"38.92439309755658, -76.95228337748507",38.924393097557,-76.952283377485,"2490 Market St NE, Washington, DC 20018"
Chick-fil-a,fast food,"38.948794810216235, -77.07931943676412",38.948794810216,-77.079319436764,"4505 Wisconsin Ave NW, Washington, DC 20016"
Chick-fil-a,fast food,"38.91247284670641, -77.07502790201697",38.912472846706,-77.075027902017,"Hoya Commons Food Court, 3800 Reservoir Rd NW, Washington, DC 20007"
Chick-fil-a,fast food,"38.9317044381575, -77.03297086501486",38.931704438158,-77.032970865015,"3100 14th St NW, Washington, DC 20010"
Chick-fil-a,fast food,"38.908332030344134, -77.04172559508429",38.908332030344,-77.041725595084,"1214 18th St NW, Washington, DC 20036"
Chick-fil-a,fast food,"38.89964888961542, -77.00584836720408",38.899648889615,-77.005848367204,"50 Massachusetts Ave NE, Washington, DC 20002"
Chick-fil-a,fast food,"38.93798028716195, -76.997951943819",38.937980287162,-76.997951943819,"620 Michigan Ave NE, Washington, DC 20064"
Chick-fil-a,fast food,"38.958673301151244, -77.00241513956372",38.958673301151,-77.002415139564,"220 Riggs Rd NE, Washington, DC 20011"
Chick-fil-a,fast food,"38.92075375387916, -76.95349164774647",38.920753753879,-76.953491647746,"2410 Market St NE, Washington, DC 20018"
